Model,R2,RMSE,MAE,Pct_within_5pct,Pct_within_10pct,fit_seconds
Median baseline,-0.6247976872898506,221742.1052636789,167140.5795462752,7.920558913572494,17.210927074338645,0.4
Ridge,0.6948589242308552,96094.5720174942,73788.33069547791,20.821885548316192,43.19020331266191,0.6
RandomForest (default-ish),0.8553465401981526,66162.65632554251,47749.79059239501,36.95737499018762,69.9387707041369,304.5
LightGBM (default),0.8519571645830172,66933.29693415426,47502.740345809674,38.70790485909412,70.57853834680901,0.5
