Model,R2,RMSE,MAE,Pct_within_5pct,Pct_within_10pct,fit_seconds
LightGBM [raw],0.8685660638452879,63067.01520924329,44609.32921218621,41.42789857916634,73.663552869142,0.4
LightGBM [log1p],0.8499497244238262,67385.57197633486,46576.40833052828,40.82738048512442,72.73333856660649,0.7
RandomForest [raw],0.8764800543485821,61138.821954996056,44518.83448601792,38.90415260224508,73.51047962948427,12.3
RandomForest [log1p],0.8715164503139314,62355.14359376804,45311.98129205615,38.52343198053222,72.84323730277102,8.7
