Config,R2,RMSE,MAE,Pct_within_10pct,fit_seconds
A  base (5 feats),0.8500773020164705,67356.91918934684,47590.94136774608,70.40584033283616,0.6
B  A + distance,0.8519571645830172,66933.29693415426,47502.740345809674,70.57853834680901,0.7
C1 A + storey (onehot),0.8653418392744645,63835.88144350697,44958.52469182054,73.56542899756653,0.8
C2 A + storey (mid-floor),0.8685660638452879,63067.01520924329,44609.32921218621,73.663552869142,0.8
D1 A + dist + storey (ohe),0.8654599244497887,63807.885648382726,44924.199917305,73.34563152523747,0.8
D2 A + dist + storey (mid),0.8670991004360628,63417.991092226745,44634.97019884906,73.81662610879974,0.8
