Config,R2,RMSE,MAE,Pct_within_10pct
"control (6 features, no TE)",0.8888221679628722,58003.956864780506,42266.536144343714,76.33252217599498
"A: raw-price TE, m=10",0.907185638081341,52997.58890095835,39773.92969414739,79.1153151738755
"A: raw-price TE, m=50",0.9062579884911106,53261.777320363995,39962.206829713796,78.8287934688751
"A: raw-price TE, m=200",0.9057507211069371,53405.690971882446,40400.37853057754,78.33817411099773
"B: premium TE (point-in-time), m=10",0.9062964591684528,53250.84717877898,40132.15551279439,78.83271842373813
"B: premium TE (point-in-time), m=50",0.9045785510671818,53736.76572002802,40384.3299270362,78.4990972603815
"B: premium TE (point-in-time), m=200",0.906795388108168,53108.88963312181,40205.04847391195,78.35387393044981
