Feature,dRMSE_mean,dRMSE_std
floor_area_sqm,109714.87392806269,994.1324607902466
town,78926.78732184933,616.8831564226042
remaining_lease_years,65614.36521526019,310.9135913909253
flat_type,24203.264337563764,408.7098616000968
storey_mid,16976.026031293575,119.94520284884454
year,0.0,0.0
