Segment (giá thật),n,Coverage_pct,Mean_width
<$300k,324,98.76543209876543,60411.57267430611
$300–500k,8975,99.6100278551532,81685.89466329511
$500–700k,10934,97.64038778123285,111888.75729601017
$700k–1M,4777,91.31253925057567,144730.9554717356
>$1M,468,59.401709401709404,137489.81634567954
