Segment,n,MAE,RMSE,Pct_within_10pct
<$300k,123,16155.088064832846,23070.864328160944,81.30081300813008
$300–500k,5094,22079.83821164711,28633.02593130801,86.8080094228504
$500–700k,7381,34799.142768697086,43945.9513228417,83.30849478390462
$700k–1M,3765,65319.212486725504,80729.20423598238,68.47277556440903
>$1M,543,145405.21522854886,164977.29102193806,34.06998158379374
