Segment,n,Coverage_pct,Mean_width,MAE_q50
<$300k,324,79.93827160493827,49928.700736641506,16440.31173646856
$300–500k,8975,59.89972144846797,52916.19890954542,23997.94704943229
$500–700k,10934,52.076092921163344,77701.46522445384,39543.42112841186
$700k–1M,4777,46.59828344149047,119940.75235054745,68705.81402301324
>$1M,468,16.88034188034188,180420.3236188105,150775.1800725798
