Segment (giá thật),n,Coverage_pct,Mean_width
<$300k,324,98.4567901234568,58382.0416578521
$300–500k,8975,99.05292479108635,76529.17102657387
$500–700k,10934,97.82330345710626,111160.82344386188
$700k–1M,4777,92.48482311073896,150675.77294410596
>$1M,468,82.05128205128204,196451.75023303213
